№ п/п,Дата,Время,"Мощность, МВт",Температура воздуха (градусы Цельсия) на высоте 2 метра над поверхностью земли,Атмосферное давление на уровне станции (миллиметры ртутного столба),"Атмосферное давление, приведенное к среднему уровню моря (миллиметры ртутного столба) ",Относительная влажность (%) на высоте 2 метра над поверхностью земли,"Направление ветра (румбы) на высоте 10-12 метров над земной поверхностью, осредненное за 10-минутный период , непосредственно предшествовавший сроку наблюдения ","Скорость ветра на высоте 10-12 метров над земной поверхностью, осредненное за 10-минутный период , непосредственно предшествовавший сроку наблюдения (метры в секунду) ",Общая облачность,"Текущая погода, сообщаемая с метеорологической станции ",Прошедшая погода между сроками наблюдения 1,Прошедшая погода между сроками наблюдения 2,"Слоисто-кучевые, слоитсые, кучевые и кучево-дождевые облака","Количество всех наблюдающихся облаков Cl или, при отсутствии облаков Cl, количество всех наблюдащихся облаков Cm",Высота основания самых низких облаков (м),"Высококучевые, высокослоистые и слоисто-дождевые облака","Перистые, перисто-кучевые и перисто-слоистые облака",Горизонтальная дальность видимости (км),,,,,,,,,,,,,,,,,,,,,,,,,
1299,04/10/19 7:00,7:00,3.870444444,12.3,762.7,763.3,91,90,3,"10%  или менее, но не 0",Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1300,04/10/19 10:00,10:00,9.508166667,19.2,763.3,763.8,45,135,4,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1301,04/10/19 13:00,13:00,7.827611111,24.0,762.7,763.1,27,135,6,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1302,04/10/19 16:00,16:00,1.621333333,24.1,762.1,762.6,28,135,6,70 – 80%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1303,04/10/19 19:00,19:00,0,19.1,762.0,762.5,46,157.5,2,20–30%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1304,04/10/19 22:00,22:00,0,17.2,761.9,762.4,41,112.5,5,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1305,05/10/19 1:00,1:00,0,14.8,761.5,761.9,80,135,4,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1306,05/10/19 4:00,4:00,0.002333333,12.3,760.9,761.5,86,90,2,Облаков нет., ,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1307,05/10/19 7:00,7:00,3.442611111,11.0,760.4,760.9,88,90,2,20–30%.,Дымка. ,Облака покрывали половину неба или менее в течение всего соответствующего периода.,Облака покрывали половину неба или менее в течение всего соответствующего периода.,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",4.0,,,,,,,,,,,,,,,,,,,,,,,,,
1308,05/10/19 10:00,10:00,8.957222222,16.7,760.0,760.4,72,135,5,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
1309,05/10/19 13:00,13:00,7.691833333,21.4,759.3,759.7,63,135,5,100%., ,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
